order_id,order_line_id,order_date,created_at,updated_at,order_status,sales_channel,order_type,brand,manufacturer_id,ptype_group_id,vendor_id,vendor,quantity,gross_revenue,discount_amount,net_revenue,cost,currency,domain,is_promo,is_test_order
ORD-100049,LINE-100049,2024-01-04,2024-01-04 00:56:00,2024-01-04 01:48:00,CANCELLED,MOBILE,OFFLINE,Apple,10,1,29,Vendor_29,4,1352,0.0,1352.0,927.79,CAD,CA,False,False
ORD-100050,LINE-100050,2024-03-24,2024-03-24 01:12:00,2024-03-24 01:39:00,CANCELLED,STORE,OFFLINE,Samsung,11,1,3,Vendor_3,1,861,86.1,774.9,595.21,CAD,CA,True,False
ORD-100051,LINE-100051,2024-04-07,2024-04-07 01:31:00,2024-04-07 01:56:00,CANCELLED,MARKETPLACE,OFFLINE,Samsung,11,2,7,Vendor_7,2,1340,134.0,1206.0,871.11,EUR,EU,True,True
ORD-100052,LINE-100052,2024-04-22,2024-04-22 01:58:00,2024-04-22 01:58:00,COMPLETED,MARKETPLACE,OFFLINE,Nike,20,2,34,Vendor_34,4,5228,0.0,5228.0,3141.06,CAD,CA,False,False
ORD-100053,LINE-100053,2024-04-15,2024-04-15 01:34:00,2024-04-15 01:40:00,COMPLETED,MARKETPLACE,OFFLINE,Adidas,21,1,20,Vendor_20,3,1245,0.0,1245.0,921.27,CAD,CA,True,False
ORD-100054,LINE-100054,2024-01-07,2024-01-07 01:32:00,2024-01-07 02:08:00,COMPLETED,WEB,OFFLINE,Adidas,21,1,15,Vendor_15,2,174,8.7,165.3,108.03,EUR,EU,False,False
ORD-100055,LINE-100055,2024-06-04,2024-06-04 00:13:00,2024-06-04 00:58:00,RETURNED,WEB,ONLINE,Nike,20,1,50,Vendor_50,2,1460,73.0,1387.0,1108.5,CAD,CA,True,False
ORD-100056,LINE-100056,2024-05-16,2024-05-16 00:13:00,2024-05-16 00:38:00,CANCELLED,MOBILE,ONLINE,Adidas,21,1,43,Vendor_43,1,1287,0.0,1287.0,853.1,CAD,CA,False,False
ORD-100057,LINE-100057,2024-03-01,2024-03-01 00:23:00,2024-03-01 00:53:00,CANCELLED,WEB,ONLINE,Nike,20,2,8,Vendor_8,2,1468,73.4,1394.6,1073.98,EUR,EU,True,True
ORD-100058,LINE-100058,2024-06-13,2024-06-13 01:33:00,2024-06-13 02:04:00,CANCELLED,MOBILE,OFFLINE,Apple,10,2,9,Vendor_9,2,2224,222.4,2001.6,1523.85,USD,US,False,True
ORD-100059,LINE-100059,2024-04-22,2024-04-22 01:58:00,2024-04-22 02:36:00,RETURNED,STORE,OFFLINE,Adidas,21,2,50,Vendor_50,3,1350,67.5,1282.5,837.72,EUR,EU,True,False
ORD-100060,LINE-100060,2024-06-03,2024-06-03 01:46:00,2024-06-03 02:42:00,COMPLETED,STORE,OFFLINE,Samsung,11,2,4,Vendor_4,2,570,28.5,541.5,334.68,EUR,EU,True,True
ORD-100061,LINE-100061,2024-06-16,2024-06-16 00:40:00,2024-06-16 01:32:00,RETURNED,WEB,OFFLINE,Samsung,11,1,7,Vendor_7,2,1430,143.0,1287.0,922.74,EUR,EU,False,False
ORD-100062,LINE-100062,2024-06-03,2024-06-03 01:20:00,2024-06-03 01:41:00,RETURNED,WEB,ONLINE,Apple,10,2,22,Vendor_22,3,3696,369.6,3326.4,2032.37,CAD,CA,True,False
ORD-100063,LINE-100063,2024-04-28,2024-04-28 01:44:00,2024-04-28 02:25:00,COMPLETED,STORE,ONLINE,Nike,20,2,36,Vendor_36,1,1211,121.1,1089.9,813.84,USD,US,False,False
ORD-100064,LINE-100064,2024-04-06,2024-04-06 01:45:00,2024-04-06 02:29:00,CANCELLED,STORE,OFFLINE,Apple,10,1,41,Vendor_41,2,2180,0.0,2180.0,1566.08,USD,US,True,False
ORD-100065,LINE-100065,2024-02-26,2024-02-26 01:30:00,2024-02-26 01:36:00,COMPLETED,MARKETPLACE,OFFLINE,Apple,10,2,23,Vendor_23,1,470,47.0,423.0,276.46,CAD,CA,True,False
ORD-100066,LINE-100066,2024-05-06,2024-05-06 00:53:00,2024-05-06 01:24:00,CANCELLED,WEB,ONLINE,Adidas,21,1,24,Vendor_24,1,683,68.3,614.7,445.98,EUR,EU,False,False
ORD-100067,LINE-100067,2024-03-02,2024-03-02 01:37:00,2024-03-02 01:42:00,RETURNED,MARKETPLACE,ONLINE,Samsung,11,2,41,Vendor_41,1,930,0.0,930.0,730.06,EUR,EU,False,True
ORD-100068,LINE-100068,2024-04-17,2024-04-17 00:13:00,2024-04-17 00:24:00,RETURNED,MOBILE,OFFLINE,Apple,10,1,46,Vendor_46,2,1546,77.3,1468.7,994.44,CAD,CA,True,True
ORD-100069,LINE-100069,2024-03-15,2024-03-15 01:53:00,2024-03-15 01:55:00,CANCELLED,MARKETPLACE,OFFLINE,Nike,20,1,23,Vendor_23,4,1404,70.2,1333.8,970.64,CAD,CA,False,False
ORD-100070,LINE-100070,2024-06-19,2024-06-19 00:02:00,2024-06-19 00:32:00,RETURNED,MOBILE,ONLINE,Apple,10,1,31,Vendor_31,3,3756,0.0,3756.0,2738.46,EUR,EU,False,True
ORD-100071,LINE-100071,2024-02-06,2024-02-06 01:34:00,2024-02-06 01:34:00,CANCELLED,WEB,ONLINE,Apple,10,1,32,Vendor_32,4,5128,256.4,4871.6,3789.03,EUR,EU,False,True
ORD-100072,LINE-100072,2024-01-01,2024-01-01 01:44:00,2024-01-01 02:40:00,CANCELLED,MARKETPLACE,OFFLINE,Nike,20,2,45,Vendor_45,4,3072,307.2,2764.8,1895.67,USD,US,False,True
ORD-100073,LINE-100073,2024-04-21,2024-04-21 00:01:00,2024-04-21 00:27:00,RETURNED,MARKETPLACE,ONLINE,Apple,10,2,46,Vendor_46,2,870,0.0,870.0,558.88,CAD,CA,False,False
ORD-100074,LINE-100074,2024-02-10,2024-02-10 01:59:00,2024-02-10 02:05:00,CANCELLED,MOBILE,OFFLINE,Nike,20,2,2,Vendor_2,4,5064,506.4,4557.6,3338.05,CAD,CA,True,True
ORD-100075,LINE-100075,2024-03-09,2024-03-09 01:09:00,2024-03-09 01:56:00,RETURNED,WEB,ONLINE,Nike,20,2,18,Vendor_18,1,1121,112.1,1008.9,677.66,EUR,EU,False,True
ORD-100076,LINE-100076,2024-02-16,2024-02-16 00:47:00,2024-02-16 01:43:00,CANCELLED,STORE,ONLINE,Apple,10,2,35,Vendor_35,1,1287,64.35,1222.65,754.19,CAD,CA,False,False
ORD-100077,LINE-100077,2024-06-26,2024-06-26 01:33:00,2024-06-26 01:51:00,COMPLETED,MARKETPLACE,ONLINE,Nike,20,1,23,Vendor_23,1,483,24.15,458.85,306.46,USD,US,False,False
ORD-100078,LINE-100078,2024-05-06,2024-05-06 01:50:00,2024-05-06 02:33:00,COMPLETED,MARKETPLACE,OFFLINE,Apple,10,2,42,Vendor_42,4,3684,184.2,3499.8,2596.77,CAD,CA,True,True
ORD-100079,LINE-100079,2024-06-23,2024-06-23 01:26:00,2024-06-23 02:19:00,COMPLETED,STORE,OFFLINE,Apple,10,2,28,Vendor_28,4,1284,0.0,1284.0,963.07,CAD,CA,True,False
ORD-100080,LINE-100080,2024-02-09,2024-02-09 01:24:00,2024-02-09 02:05:00,RETURNED,STORE,OFFLINE,Apple,10,1,36,Vendor_36,2,236,23.6,212.4,148.8,USD,US,False,True
ORD-100081,LINE-100081,2024-05-24,2024-05-24 00:43:00,2024-05-24 00:55:00,CANCELLED,WEB,OFFLINE,Apple,10,1,41,Vendor_41,3,2148,0.0,2148.0,1649.63,USD,US,False,False
ORD-100082,LINE-100082,2024-01-31,2024-01-31 00:56:00,2024-01-31 01:05:00,COMPLETED,STORE,ONLINE,Nike,20,1,47,Vendor_47,2,744,0.0,744.0,585.52,USD,US,True,True
ORD-100083,LINE-100083,2024-06-02,2024-06-02 00:42:00,2024-06-02 01:20:00,CANCELLED,WEB,OFFLINE,Adidas,21,2,37,Vendor_37,1,123,0.0,123.0,92.59,CAD,CA,False,False
ORD-100084,LINE-100084,2024-04-04,2024-04-04 00:58:00,2024-04-04 01:54:00,CANCELLED,MOBILE,OFFLINE,Apple,10,2,31,Vendor_31,2,1200,60.0,1140.0,785.19,USD,US,True,False
ORD-100085,LINE-100085,2024-04-18,2024-04-18 01:43:00,2024-04-18 02:43:00,COMPLETED,WEB,OFFLINE,Apple,10,2,32,Vendor_32,2,910,45.5,864.5,623.14,USD,US,False,False
ORD-100086,LINE-100086,2024-02-25,2024-02-25 01:12:00,2024-02-25 01:44:00,RETURNED,MARKETPLACE,ONLINE,Adidas,21,2,1,Vendor_1,1,384,38.4,345.6,242.63,CAD,CA,False,False
ORD-100087,LINE-100087,2024-06-14,2024-06-14 00:08:00,2024-06-14 00:43:00,RETURNED,MARKETPLACE,ONLINE,Adidas,21,2,37,Vendor_37,1,1127,0.0,1127.0,818.65,USD,US,False,True
ORD-100088,LINE-100088,2024-06-24,2024-06-24 00:02:00,2024-06-24 00:18:00,RETURNED,STORE,ONLINE,Samsung,11,1,17,Vendor_17,1,1352,135.2,1216.8,846.61,USD,US,True,False
ORD-100089,LINE-100089,2024-03-25,2024-03-25 00:05:00,2024-03-25 00:31:00,RETURNED,MOBILE,ONLINE,Samsung,11,1,37,Vendor_37,2,2600,260.0,2340.0,1791.04,USD,US,False,True
ORD-100090,LINE-100090,2024-06-10,2024-06-10 01:11:00,2024-06-10 01:52:00,CANCELLED,MOBILE,ONLINE,Nike,20,2,37,Vendor_37,3,2484,248.4,2235.6,1622.41,CAD,CA,False,True
ORD-100091,LINE-100091,2024-01-21,2024-01-21 01:43:00,2024-01-21 01:49:00,CANCELLED,WEB,OFFLINE,Nike,20,2,36,Vendor_36,1,645,64.5,580.5,449.56,EUR,EU,False,False
ORD-100092,LINE-100092,2024-06-25,2024-06-25 00:13:00,2024-06-25 00:56:00,COMPLETED,MARKETPLACE,OFFLINE,Samsung,11,2,19,Vendor_19,2,510,51.0,459.0,284.46,USD,US,True,False
ORD-100093,LINE-100093,2024-05-06,2024-05-06 00:30:00,2024-05-06 00:31:00,RETURNED,MOBILE,ONLINE,Nike,20,1,41,Vendor_41,1,1102,0.0,1102.0,836.22,CAD,CA,True,True
ORD-100094,LINE-100094,2024-03-30,2024-03-30 01:58:00,2024-03-30 02:07:00,COMPLETED,MARKETPLACE,OFFLINE,Apple,10,1,13,Vendor_13,1,1380,0.0,1380.0,866.11,USD,US,False,True
ORD-100095,LINE-100095,2024-02-11,2024-02-11 00:42:00,2024-02-11 01:10:00,COMPLETED,STORE,OFFLINE,Adidas,21,1,5,Vendor_5,1,1239,0.0,1239.0,774.42,CAD,CA,False,False
ORD-100096,LINE-100096,2024-06-27,2024-06-27 01:03:00,2024-06-27 01:17:00,COMPLETED,WEB,ONLINE,Adidas,21,2,35,Vendor_35,3,909,90.9,818.1,653.45,EUR,EU,True,False
ORD-100097,LINE-100097,2024-04-26,2024-04-26 00:04:00,2024-04-26 00:57:00,COMPLETED,STORE,OFFLINE,Samsung,11,2,21,Vendor_21,3,3792,379.2,3412.8,2704.44,USD,US,False,False
ORD-100098,LINE-100098,2024-01-31,2024-01-31 01:35:00,2024-01-31 01:53:00,COMPLETED,MOBILE,ONLINE,Nike,20,1,27,Vendor_27,4,4136,206.8,3929.2,2889.63,CAD,CA,True,False
ORD-100099,LINE-100099,2024-06-19,2024-06-19 01:08:00,2024-06-19 01:10:00,COMPLETED,WEB,OFFLINE,Apple,10,1,49,Vendor_49,2,2556,127.8,2428.2,1820.57,USD,US,False,False
ORD-100100,LINE-100100,2024-04-08,2024-04-08 01:08:00,2024-04-08 01:52:00,CANCELLED,STORE,ONLINE,Nike,20,1,24,Vendor_24,3,2547,254.7,2292.3,1560.82,USD,US,True,True
ORD-100101,LINE-100101,2024-02-17,2024-02-17 01:19:00,2024-02-17 01:22:00,CANCELLED,MARKETPLACE,ONLINE,Apple,10,2,13,Vendor_13,4,2000,100.0,1900.0,1343.0,CAD,CA,False,False
ORD-100102,LINE-100102,2024-04-01,2024-04-01 00:53:00,2024-04-01 01:02:00,RETURNED,MARKETPLACE,OFFLINE,Samsung,11,1,45,Vendor_45,4,5508,275.4,5232.6,3347.29,USD,US,True,False
ORD-100103,LINE-100103,2024-03-20,2024-03-20 00:20:00,2024-03-20 01:02:00,RETURNED,MARKETPLACE,OFFLINE,Samsung,11,1,28,Vendor_28,1,1268,0.0,1268.0,1001.85,EUR,EU,True,True
ORD-100104,LINE-100104,2024-06-18,2024-06-18 01:36:00,2024-06-18 01:38:00,RETURNED,WEB,ONLINE,Apple,10,1,24,Vendor_24,1,671,67.1,603.9,409.19,EUR,EU,True,False
ORD-100105,LINE-100105,2024-02-07,2024-02-07 01:04:00,2024-02-07 01:33:00,CANCELLED,WEB,OFFLINE,Nike,20,2,6,Vendor_6,2,1760,176.0,1584.0,994.02,EUR,EU,True,True
ORD-100106,LINE-100106,2024-03-18,2024-03-18 01:55:00,2024-03-18 02:29:00,CANCELLED,WEB,ONLINE,Adidas,21,2,50,Vendor_50,2,2328,0.0,2328.0,1781.23,CAD,CA,False,False
ORD-100107,LINE-100107,2024-05-02,2024-05-02 00:19:00,2024-05-02 00:41:00,COMPLETED,WEB,OFFLINE,Samsung,11,2,7,Vendor_7,3,3387,338.7,3048.3,1946.23,CAD,CA,False,False
ORD-100108,LINE-100108,2024-03-23,2024-03-23 01:27:00,2024-03-23 01:50:00,COMPLETED,MARKETPLACE,OFFLINE,Samsung,11,1,27,Vendor_27,2,2396,239.6,2156.4,1711.59,EUR,EU,False,False
ORD-100109,LINE-100109,2024-05-14,2024-05-14 01:34:00,2024-05-14 01:57:00,COMPLETED,WEB,OFFLINE,Samsung,11,2,26,Vendor_26,3,2367,0.0,2367.0,1518.36,USD,US,True,False
ORD-100110,LINE-100110,2024-06-01,2024-06-01 01:31:00,2024-06-01 02:00:00,RETURNED,MARKETPLACE,ONLINE,Samsung,11,1,50,Vendor_50,1,198,19.8,178.2,120.05,CAD,CA,True,False
ORD-100111,LINE-100111,2024-06-25,2024-06-25 01:56:00,2024-06-25 02:06:00,RETURNED,MOBILE,OFFLINE,Apple,10,2,10,Vendor_10,2,756,37.8,718.2,454.11,USD,US,True,True
ORD-100112,LINE-100112,2024-06-26,2024-06-26 01:36:00,2024-06-26 02:02:00,COMPLETED,MOBILE,OFFLINE,Apple,10,2,18,Vendor_18,4,2964,296.4,2667.6,1748.42,EUR,EU,False,False
ORD-100113,LINE-100113,2024-04-06,2024-04-06 01:43:00,2024-04-06 01:59:00,COMPLETED,STORE,OFFLINE,Nike,20,2,36,Vendor_36,4,1900,190.0,1710.0,1275.44,CAD,CA,False,False
ORD-100114,LINE-100114,2024-02-14,2024-02-14 00:00:00,2024-02-14 00:03:00,COMPLETED,MOBILE,OFFLINE,Samsung,11,2,47,Vendor_47,4,5188,259.4,4928.6,3530.7,EUR,EU,False,False
ORD-100115,LINE-100115,2024-05-24,2024-05-24 01:31:00,2024-05-24 02:04:00,CANCELLED,WEB,ONLINE,Samsung,11,1,40,Vendor_40,1,441,0.0,441.0,300.95,EUR,EU,False,False
ORD-100116,LINE-100116,2024-02-04,2024-02-04 00:27:00,2024-02-04 00:40:00,CANCELLED,STORE,ONLINE,Nike,20,1,16,Vendor_16,4,1216,60.8,1155.2,743.31,CAD,CA,True,False
ORD-100117,LINE-100117,2024-02-25,2024-02-25 01:51:00,2024-02-25 02:51:00,COMPLETED,MOBILE,OFFLINE,Apple,10,1,7,Vendor_7,4,900,90.0,810.0,543.28,CAD,CA,True,True
ORD-100118,LINE-100118,2024-02-15,2024-02-15 01:01:00,2024-02-15 01:50:00,CANCELLED,MOBILE,ONLINE,Nike,20,2,49,Vendor_49,2,1880,0.0,1880.0,1315.2,EUR,EU,True,False
ORD-100119,LINE-100119,2024-06-23,2024-06-23 00:38:00,2024-06-23 01:30:00,COMPLETED,STORE,OFFLINE,Samsung,11,2,1,Vendor_1,1,1355,0.0,1355.0,1061.41,USD,US,False,True
ORD-100120,LINE-100120,2024-02-03,2024-02-03 00:25:00,2024-02-03 01:05:00,COMPLETED,STORE,OFFLINE,Nike,20,2,35,Vendor_35,2,1208,120.8,1087.2,782.83,EUR,EU,False,True
ORD-100121,LINE-100121,2024-02-23,2024-02-23 00:12:00,2024-02-23 00:31:00,CANCELLED,MARKETPLACE,OFFLINE,Apple,10,1,32,Vendor_32,1,847,0.0,847.0,645.62,EUR,EU,False,False
ORD-100122,LINE-100122,2024-04-11,2024-04-11 01:40:00,2024-04-11 02:07:00,RETURNED,MARKETPLACE,OFFLINE,Samsung,11,1,49,Vendor_49,3,3246,0.0,3246.0,2281.58,EUR,EU,True,False
